File ID	File Name	Data Category	Data Type	Project ID	Case ID	Sample ID	Sample Type
88e4e48c-b3f2-43a1-b25b-c9cc254fd0b6	a3320ee3-e016-49c7-bbba-395240538ff7.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-PRAD	TCGA-EJ-7781	TCGA-EJ-7781-11A	Solid Tissue Normal
2da76078-a055-453d-86c8-97d43764a3e3	287581a1-60ad-4831-aedc-153277b3ebce.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-PRAD	TCGA-ZG-A9L0	TCGA-ZG-A9L0-01A	Primary Tumor
0f472603-0065-41f4-8a11-e0f996051909	fb4a9805-6fc4-4d65-a346-28caab177ca7.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-PRAD	TCGA-X4-A8KQ	TCGA-X4-A8KQ-01A	Primary Tumor
826760c9-32a8-42a9-9acf-3e9892ff40e8	cde07d1c-3510-4bcf-bd6f-8905077d43f9.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-PRAD	TCGA-J9-A52B	TCGA-J9-A52B-01A	Primary Tumor
2ef10886-a213-446e-afef-12e9b5cbc3be	b720819c-f6ff-48ad-8e19-1456669bd326.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-PRAD	TCGA-HC-7213	TCGA-HC-7213-01A	Primary Tumor
81dbe674-52b1-4c88-ac98-f235ea631797	cd27b963-ad0f-4932-b41b-599dfd4b4194.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-PRAD	TCGA-EJ-7781	TCGA-EJ-7781-01A	Primary Tumor
498a4e5b-49dc-4340-87fc-0d0aad92db4b	9b40159c-36fb-460b-b944-6eb2fe8a39a7.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-PRAD	TCGA-KK-A7AU	TCGA-KK-A7AU-01A	Primary Tumor
c249c992-d43c-41bd-9dd5-1f74556ed09a	1a861cd2-321b-431d-838c-18d0b17b2193.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-PRAD	TCGA-KC-A7FA	TCGA-KC-A7FA-01A	Primary Tumor
2edea5c2-b0a5-4b55-ad66-ebb0c36fca9d	b7384116-b551-4af6-8e0b-032b55a53897.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-PRAD	TCGA-V1-A9ZI	TCGA-V1-A9ZI-01A	Primary Tumor
42a3355a-6675-40ab-aa14-574ca369febd	6a2f4493-11e8-4bef-9408-9c0dd74e2849.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-PRAD	TCGA-KK-A7B4	TCGA-KK-A7B4-01A	Primary Tumor
4f8e6a27-d100-438d-9ae0-fc84ca639291	45e2bd4b-9854-4f6f-9062-4ce4a2b4fed9.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-PRAD	TCGA-HC-A9TE	TCGA-HC-A9TE-01A	Primary Tumor
73922e45-6e87-42c3-bb07-0c7cf4691fd3	fb867d17-df3f-428f-a9e4-28ca204be1bf.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-PRAD	TCGA-YL-A8SJ	TCGA-YL-A8SJ-01B	Primary Tumor
fdd15293-db3d-4a02-8f76-52e6f7c0cd98	1f3cabd7-c794-4083-a010-bc828e82608f.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-PRAD	TCGA-2A-A8VT	TCGA-2A-A8VT-01A	Primary Tumor
aa7712ce-63fe-4a3c-ad0f-88467d0c55df	e4563c32-14e3-4574-b11b-f6aa4039ced9.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-PRAD	TCGA-VP-A87D	TCGA-VP-A87D-01A	Primary Tumor
48d59c1b-0086-4db3-bde1-c0d773a79039	a63e0a4b-8737-4a19-8592-8a180c37adcc.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-PRAD	TCGA-KK-A8II	TCGA-KK-A8II-01A	Primary Tumor
508f82a6-c6c1-4452-851c-2e77f4799601	56145606-4305-4b32-a357-00d3f852dd0a.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-PRAD	TCGA-HC-7742	TCGA-HC-7742-11A	Solid Tissue Normal
57ef12cf-3c0e-49ce-9075-9ae9d74ba64f	43adcecf-c596-4e69-9c83-16d5b28f276f.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-PRAD	TCGA-EJ-5525	TCGA-EJ-5525-01A	Primary Tumor
35c5abb3-28e8-48cc-83a9-2fffdd2d32b2	83a9edff-550c-486e-8a71-cd23aa201bda.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-PRAD	TCGA-ZG-A9M4	TCGA-ZG-A9M4-01A	Primary Tumor
b536d7bd-ac15-4be6-9a01-5df563464879	f87a03c9-e231-4a90-87b3-f234bceff50d.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-PRAD	TCGA-HC-7742	TCGA-HC-7742-01A	Primary Tumor
42af3c76-7e16-486b-b6ef-be875f61d652	d20ff0dc-fa83-478a-99f3-30a4d076c5c9.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-PRAD	TCGA-V1-A9Z7	TCGA-V1-A9Z7-01A	Primary Tumor
